1930 2004
1930: 110 362
1931: 115 323
1932: 107 325
1933: 98 331
1934: 130 382
1935: 67 248
1936: 149 424
1937: 58 230
1938: 69 267
1939: 119 338
1940: 92 300
1941: 71 317
1942: 94 298
1943: 124 367
1944: 85 260
1945: 75 331
1946: 119 297
1947: 78 277
1948: 94 306
1949: 91 362
1950: 138 392
1951: 54 219
1952: 148 470
1953: 90 325
1954: 93 305
1955: 120 356
1956: 90 299
1957: 106 328
1958: 69 278
1959: 87 296
1960: 74 269
1961: 91 301
1962: 103 325
1963: 66 246
1964: 130 335
1965: 72 252
1966: 112 270
1967: 147 423
1968: 84 264
1969: 144 409
1970: 94 313
1971: 77 299
1972: 115 353
1973: 50 214
1974: 57 232
1975: 71 270
1976: 118 357
1977: 65 249
1978: 142 409
1979: 91 298
1980: 55 208
1981: 122 363
1982: 95 290
1983: 74 286
1984: 98 289
1985: 111 409
1986: 83 303
1987: 53 251
1988: 78 256
1989: 76 271
1990: 84 286
1991: 126 327
1992: 144 412
1993: 91 316
1994: 83 285
1995: 99 298
1996: 63 245
1997: 136 393
1998: 115 354
1999: 132 395
2000: 81 337
2001: 107 356
2002: 136 378
2003: 132 385
2004: 96 317
